Time,Latitude,Longitude,Altitude,Condutivity,DissolvedOxygen,RedoxPotential,Temperature,pH
1572037437.0,-32.07391615,-52.1650936,16.920235703,303.399993896,27.7199993134,173.100006104,27.7369995117,10.9359998703
1572037442.0,-32.07392075,-52.1651272,16.9003109258,303.200012207,27.7600002289,173.0,27.7350006104,10.9560003281
1572037447.0,-32.07391665,-52.1651621,16.8553945272,303.0,27.7399997711,172.600006104,27.7490005493,10.9479999542
1572037452.5,-32.07389975,-52.1651913,16.9904709962,303.600006104,27.6499996185,172.399993896,27.7700004578,10.9379997253
1572037458.0,-32.0738748,-52.16521965,16.995569347,303.0,27.5699996948,172.699996948,27.7740001678,10.9329996109
1572037463.0,-32.0738573,-52.1652495,17.040638016,303.200012207,27.4899997711,172.399993896,27.7220001221,10.9499998093
1572037468.0,-32.07384345,-52.16528405,16.9707359273,303.0,27.3700008392,173.399993896,27.7299995422,10.9549999237
1572037473.5,-32.073832,-52.1653176,17.0007997335,302.700012207,27.5100002289,172.100006104,27.7350006104,10.9580001831
1572037479.0,-32.07381045,-52.16534855,17.0158592774,302.700012207,27.7000007629,171.199996948,27.7240009308,10.9720001221
1572037484.0,-32.07378825,-52.16536105,17.0209060593,302.100006104,27.6900005341,171.899993896,27.7159996033,10.9560003281
1572037489.0,-32.0737534,-52.165366,17.020907768,301.799987793,27.7600002289,172.0,27.5799999237,10.9639997482
1572037494.0,-32.0737237,-52.1653691,16.950907048,301.200012207,27.6900005341,171.199996948,27.5729999542,10.9650001526
1572037500.0,-32.07368685,-52.16536875,17.175891541,300.700012207,27.8199996948,171.699996948,27.5510005951,10.9790000916
1572037505.0,-32.0736603,-52.1653607,17.2458574388,301.100006104,27.8799991608,171.699996948,27.3880004883,10.9589996338
1572037510.0,-32.0736308,-52.16535345,17.2308393063,300.799987793,27.9599990845,171.0,27.3939990997,10.9630002975
1572037515.0,-32.073605,-52.1653451,17.2257816746,300.799987793,27.8099994659,170.100006104,27.3899993896,10.9619998932
1572037520.5,-32.07358815,-52.16531845,17.1407278677,299.700012207,27.6399993896,170.699996948,27.3850002289,10.9469995499
1572037526.0,-32.0735824,-52.16529085,17.0206519414,299.899993896,27.7299995422,170.0,27.3719997406,10.9379997253
1572037531.0,-32.0735815,-52.1652603,17.0205830104,299.0,27.7199993134,168.300003052,27.3549995422,10.9460000992
1572037536.0,-32.0735936,-52.1652306,17.0854938411,300.0,27.7399997711,169.800003052,27.3309993744,10.9399995804
1572037541.5,-32.0736135,-52.1652167,17.105460074,301.0,27.7900009155,168.100006104,27.3309993744,10.9429998398
1572037547.0,-32.0736343,-52.1651972,17.1154023388,301.600006104,27.8500003815,167.199996948,27.3439998627,10.9280004501
1572037552.0,-32.07365465,-52.16517745,17.0603704306,301.0,27.8799991608,167.0,27.4720001221,10.9320001602
1572037557.0,-32.0736761,-52.1651554,17.0403381884,300.600006104,27.9300003052,167.600006104,27.4689998627,10.9320001602
1572037562.0,-32.0736976,-52.16513635,16.9652737241,299.299987793,28.0900001526,167.399993896,27.4610004425,10.9099998474
1572037568.0,-32.07372295,-52.1651113,16.9402360627,305.799987793,28.0900001526,167.100006104,27.3330001831,10.8859996796
1572037573.0,-32.07374555,-52.165086,16.9101657252,303.899993896,27.9599990845,166.800003052,27.3150005341,10.8859996796
1572037578.0,-32.0737618,-52.1650631,16.9450929087,302.100006104,27.6200008392,167.0,27.0149993896,10.906999588
1572037583.0,-32.0737789,-52.16503155,17.0200158972,302.100006104,27.1700000763,165.300003052,27.1630001068,10.8459997177
1572037589.0,-32.07379675,-52.1649958,16.9749323754,305.600006104,26.2000007629,165.0,27.033000946,10.8999996185
1572037594.0,-32.0738102,-52.1649657,16.9598469136,308.5,26.8899993896,165.600006104,27.2649993896,10.9739999771
1572037599.0,-32.07382175,-52.16493155,16.9347756481,308.799987793,27.5499992371,164.899993896,27.454000473,11.0030002594
1572037604.0,-32.073832,-52.1648932,17.0146685951,308.0,27.8899993896,166.100006104,27.6119995117,10.9650001526
1572037609.5,-32.0738387,-52.1648539,17.0545600847,306.5,27.7900009155,165.600006104,27.6140003204,10.9659996033
1572037615.0,-32.0738408,-52.16482025,16.9594532177,304.600006104,27.5499992371,165.899993896,27.6159992218,10.9370002747
1572037620.0,-32.07382665,-52.1647975,16.9743926921,304.200012207,27.4599990845,167.100006104,27.6119995117,10.875
1572037625.0,-32.07379945,-52.16477855,16.9693655869,305.399993896,27.3299999237,166.100006104,27.607000351,10.9460000992
1572037630.5,-32.0737739,-52.1647534,16.964295375,304.899993896,27.2800006866,166.199996948,27.591999054,10.968000412
1572037636.0,-32.07375585,-52.16472325,17.009158707,303.899993896,27.3299999237,165.600006104,27.4340000153,10.9589996338
1572037641.0,-32.07374075,-52.1646974,16.9991213869,301.700012207,27.0900001526,166.399993896,27.4409999847,10.9309997559
1572037646.0,-32.07372065,-52.16466785,17.0490282836,300.5,26.7900009155,167.800003052,27.4300003052,10.8920001984
1572037651.0,-32.0736998,-52.1646518,17.04899411,299.600006104,26.1200008392,168.0,27.2189998627,10.8559999466
1572037656.5,-32.0736746,-52.16462595,17.0888829552,299.600006104,25.7800006866,168.199996948,27.2119998932,10.8669996262
1572037662.0,-32.0736477,-52.1646135,17.0888672606,299.600006104,25.7000007629,167.600006104,27.2049999237,10.859000206
1572037667.0,-32.07361845,-52.1645928,17.0437887152,297.899993896,25.5699996948,168.0,27.1830005646,10.8420000076
1572037672.0,-32.07360245,-52.164569,17.0187495529,297.200012207,25.3299999237,168.5,27.0009994507,10.8719997406
1572037677.5,-32.07358385,-52.16454035,17.0536339518,296.600006104,25.4200000763,168.100006104,26.982000351,10.8850002289
1572037683.0,-32.0735589,-52.16452195,17.0835752942,296.600006104,25.8099994659,168.300003052,26.7380008698,10.8649997711
1572037688.0,-32.0735373,-52.16450665,17.0335270654,296.5,26.0900001526,168.100006104,26.716999054,10.9160003662
1572037693.0,-32.0735102,-52.16449035,16.9484851281,296.600006104,26.0499992371,168.199996948,26.5599994659,10.9499998093
1572037698.0,-32.0734825,-52.16447385,17.0234259138,295.899993896,26.7900009155,168.600006104,26.5349998474,10.9390001297
1572037704.0,-32.0734523,-52.1644546,17.2533610617,295.399993896,27.0599994659,169.0,26.3330001831,10.9130001068
1572037709.0,-32.0734316,-52.1644374,17.1883117936,293.899993896,27.2099990845,168.300003052,26.3129997253,10.8970003128
1572037714.0,-32.07341055,-52.1644277,17.0932809139,294.899993896,26.9599990845,169.5,26.1800003052,10.9010000229
1572037719.0,-32.07338365,-52.1644224,17.0182658231,295.299987793,27.4899997711,168.100006104,26.1749992371,10.8859996796
1572037725.0,-32.07335425,-52.1644087,16.9382092517,294.700012207,27.8799991608,167.699996948,26.1560001373,10.9189996719
1572037730.0,-32.07332635,-52.1643939,16.9181536241,294.5,27.75,167.699996948,26.1399993896,10.9119997025
